Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
45880425282792860,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42446,22,1,9,1754,22:40:53.619
45880423131934375,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,13,23,3916,22:40:53.619
45880422054935480,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,7,23,3916,22:40:53.619
45880422855485052,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,13,16,2640,22:40:53.619
45880425295042198,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,6,23,3916,22:40:53.502
45880423023918745,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,12,23,3916,22:40:53.503
45880423731310775,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,12,16,2640,22:40:53.502
45880422234720441,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42446,0,9,2580,22:40:53.502
45880423456489538,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42446,22,0,9,1754,22:40:53.502
45880423598745047,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,6,16,2640,22:40:53.502
